iter	Passed	Remaining
828	11704	2414
829	11716	2399
830	11727	2385
831	11737	2370
832	11745	2354
833	11755	2339
834	11761	2324
835	11769	2308
836	11779	2293
837	11787	2278
838	11796	2263
839	11802	2248
840	11809	2232
841	11816	2217
842	11822	2201
843	11831	2186
844	11837	2171
845	11845	2156
846	11851	2140
847	11860	2125
848	11871	2111
849	11883	2097
850	11889	2081
851	11895	2066
852	11902	2051
853	11910	2036
854	11918	2021
855	11928	2006
856	11936	1991
857	11944	1976
858	11951	1961
859	11957	1946
860	11967	1932
861	11982	1918
862	11992	1903
863	12004	1889
864	12016	1875
865	12026	1860
866	12032	1845
867	12080	1837
868	12099	1823
869	12106	1809
870	12114	1794
871	12121	1779
872	12133	1765
873	12140	1750
874	12148	1735
875	12156	1720
876	12164	1706
877	12176	1691
878	12182	1677
879	12190	1662
880	12197	1647
881	12203	1632
882	12212	1618
883	12221	1603
884	12232	1589
885	12243	1575
886	12253	1561
887	12264	1546
888	12278	1533
889	12286	1518
890	12295	1504
891	12304	1489
892	12310	1475
893	12320	1460
894	12331	1446
895	12339	1432
896	12349	1418
897	12359	1403
898	12367	1389
899	12376	1375
900	12384	1360
901	12395	1346
902	12406	1332
903	12419	1318
904	12429	1304
905	12438	1290
906	12447	1276
907	12454	1261
908	12467	1248
909	12476	1233
910	12486	1219
911	12494	1205
912	12506	1191
913	12517	1177
914	12529	1163
915	12541	1150
916	12550	1135
917	12561	1122
918	12574	1108
919	12583	1094
920	12593	1080
921	12602	1066
922	12613	1052
923	12623	1038
924	12632	1024
925	12640	1010
926	12648	996
927	12658	982
928	12664	967
929	12674	953
930	12679	939
931	12687	925
932	12696	911
933	12703	897
934	12713	883
935	12720	869
936	12730	855
937	12739	842
938	12751	828
939	12764	814
940	12774	800
941	12785	787
942	12795	773
943	12806	759
944	12816	745
945	12827	732
946	12837	718
947	12850	704
948	12861	691
949	12875	677
950	12885	663
951	12898	650
952	12909	636
953	12920	622
954	12928	609
955	12936	595
956	12943	581
957	12952	567
958	12964	554
959	12981	540
960	12998	527
961	13010	513
962	13023	500
963	13034	486
964	13059	473
965	13100	461
966	13107	447
967	13114	433
968	13121	419
969	13129	406
970	13138	392
971	13150	378
972	13157	365
973	13167	351
974	13174	337
975	13183	324
976	13197	310
977	13209	297
978	13219	283
979	13233	270
980	13244	256
981	13259	243
982	13269	229
983	13276	215
984	13293	202
985	13308	188
986	13314	175
987	13329	161
988	13341	148
989	13349	134
990	13359	121
991	13369	107
992	13379	94
993	13391	80
994	13400	67
995	13412	53
996	13423	40
997	13436	26
998	13447	13
999	13458	0
